date,slug,variant,platform,theme,hook,anim,transition,views_24h,views_72h,avg_watch_pct,comments,saves,leads
2026-09-06,google-preferred,main,instagram,paper,badge-reveal,pop,slide/whip/fade/leak/wipe/push,,,,,,
2026-09-06,google-preferred,main,tiktok,paper,badge-reveal,pop,slide/whip/fade/leak/wipe/push,,,,,,
2026-09-06,google-preferred,main,facebook,paper,badge-reveal,pop,slide/whip/fade/leak/wipe/push,,,,,,
2026-09-06,google-preferred,main,linkedin-page,paper,badge-reveal,pop,slide/whip/fade/leak/wipe/push,,,,,,
2026-09-06,google-preferred,main,linkedin-profile,paper,badge-reveal,pop,slide/whip/fade/leak/wipe/push,,,,,,
2026-09-06,google-preferred,main,youtube,paper,badge-reveal,pop,slide/whip/fade/leak/wipe/push,,,,,,
2026-09-10,seo-tierlist,main,tiktok,bold,F-stamp: if your SEO agency is still doing these three things,rise,wipe/cut,,,,,,
2026-09-10,seo-tierlist,main,instagram,bold,F-stamp: if your SEO agency is still doing these three things,rise,wipe/cut,,,,,,
2026-09-10,seo-tierlist,main,facebook,bold,F-stamp: if your SEO agency is still doing these three things,rise,wipe/cut,,,,,,
2026-09-10,seo-tierlist,main,youtube,bold,F-stamp: if your SEO agency is still doing these three things,rise,wipe/cut,,,,,,
2026-09-10,seo-tierlist,main,linkedin,bold,F-stamp: if your SEO agency is still doing these three things,rise,wipe/cut,,,,,,
